train_number,station_code,station_name,avg_delay_min,pct_right_time,pct_slight_delay,pct_significant_delay,total_records,day_of_week,month,season
50,266,95,-0.7690251494720611,1.500049849939782,-1.2966158989387286,-0.7015228159529423,0.83,5,9,0
50,28,31,-0.8087685449848728,-1.5118518864375428,-1.3072072520428393,-0.7015228159529423,99.73,5,9,0
50,12,26,-0.4908213808823796,0.16984160055727904,0.4336973804031642,-0.6894821190938313,0.01,5,9,0
50,228,215,-0.47094968312597374,-0.03933944876021746,0.6486626211828869,-0.6283867313272306,0.01,5,9,0
50,384,389,-0.3119761010747271,-0.8174318774623794,1.62659755779575,-0.6038593858734858,0.01,5,9,0
50,142,138,-0.3119761010747271,-0.867513179780729,1.6913224934319802,-0.6038593858734858,0.0,5,9,0
50,451,441,-0.33184779883113297,-0.8256769699172297,1.6481725363411601,-0.6159000827325969,0.0,5,9,0
50,93,104,-0.550436474151597,0.6382850015106215,-0.18962336339059424,-0.6649547736400864,0.01,5,9,0
51,92,103,-0.7094100562028437,1.4499685476214326,-1.2103159847570883,-0.6894821190938313,0.0,5,9,0
51,142,138,-0.39146289210035046,-0.44090598869088576,1.207650701677604,-0.6769954704991975,0.0,5,9,0
51,384,389,-0.33184779883113297,-0.675127689167557,1.497932231197668,-0.6649547736400864,0.0,5,9,0
51,200,196,-0.669666660690032,1.3244599180309347,-1.0600756796135957,-0.6769954704991975,0.0,5,9,0
51,228,215,-0.5305647763951912,0.7637936311011194,-0.35084729397538633,-0.6649547736400864,0.01,5,9,0
51,12,26,-0.25236100780550963,-0.9930218093712266,1.8525464240167724,-0.6038593858734858,0.0,5,9,0
51,343,352,-0.17287421677988632,-1.218998417393048,2.089086643341905,-0.5672913435606298,0.55,5,9,0
54,266,95,-0.7292817539592495,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
54,12,26,-0.5106930786387854,0.3121457888521013,0.26188209671426155,-0.7015228159529423,0.0,5,9,0
54,228,215,-0.5901798696644087,0.9228933781002662,-0.5226625776642888,-0.7015228159529423,0.0,5,9,0
54,451,441,-0.6497949629336262,0.9228933781002662,-0.5226625776642888,-0.7015228159529423,0.0,5,9,0
54,93,104,-0.669666660690032,0.9228933781002662,-0.5226625776642888,-0.7015228159529423,0.0,5,9,0
54,92,103,-0.8087685449848728,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
55,92,103,-0.7491534517156553,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
55,451,441,-0.4908213808823796,-0.2986018003960635,1.046426771092812,-0.7015228159529423,0.0,5,9,0
55,142,138,0.045714458540577776,-1.520096978892393,2.6155161198499126,-0.7015228159529423,0.0,5,9,0
55,384,389,0.00597106302776612,-1.520096978892393,2.6155161198499126,-0.7015228159529423,0.0,5,9,0
55,228,215,-0.788896847228467,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
55,343,352,-0.5901798696644087,0.9228933781002662,-0.5226625776642888,-0.7015228159529423,0.0,5,9,0
55,266,95,-0.6299232651772204,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
48,286,96,-0.7690251494720611,1.5168454086441066,-1.285632273497429,-0.7015228159529423,0.0,5,9,0
48,431,430,-0.7292817539592495,1.5086003161892563,-1.2750409203933186,-0.7015228159529423,0.0,5,9,0
48,465,465,-0.6895383584464378,1.3830916865987581,-1.124408342912637,-0.6894821190938313,0.0,5,9,0
48,467,469,-0.669666660690032,1.4249278964622576,-1.1781496531075677,-0.6894821190938313,0.0,5,9,0
48,442,437,-0.6497949629336262,1.073442658849939,-0.7270364653399012,-0.6894821190938313,0.01,5,9,0
48,282,271,-0.5305647763951912,0.4126137672834244,0.1222331446748795,-0.6894821190938313,0.0,5,9,0
48,121,129,-0.47094968312597374,0.17839206680675315,0.4015310487536436,-0.6649547736400864,0.0,5,9,0
48,2,13,-0.4312062876131621,-0.15629761210124118,0.8314615303130892,-0.6649547736400864,0.0,5,9,0
48,230,232,-0.39146289210035046,-0.49098729100923527,1.250800658768424,-0.6524681250454527,0.0,5,9,0
49,270,265,-0.788896847228467,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
49,230,232,-0.6895383584464378,1.4081323377579331,-1.145983321458047,-0.7015228159529423,0.0,5,9,0
49,2,13,-0.6100515674208146,1.2826237081674352,-0.984759390873255,-0.7015228159529423,0.0,5,9,0
49,121,129,-0.669666660690032,1.4249278964622576,-1.1675583000034573,-0.7015228159529423,0.0,5,9,0
49,282,271,-0.6497949629336262,1.3412554767352591,-1.0600756796135957,-0.7015228159529423,0.0,5,9,0
49,442,437,-0.6895383584464378,1.4081323377579331,-1.145983321458047,-0.7015228159529423,0.0,5,9,0
49,467,469,-0.39146289210035046,-0.3905193125779122,1.1433180383785628,-0.6769954704991975,0.0,5,9,0
49,465,465,-0.5703081719080029,1.0566471001456141,-0.7270364653399012,-0.6649547736400864,0.01,5,9,0
49,275,286,-0.4908213808823796,-1.2022028586887235,-1.081650658159006,-0.6769954704991975,83.29,5,9,0
